Ticker,Category,Price,Trend,RSI,Volatility,Momentum_1M
OJ=F,Com_Other,165.65,BEAR,71.52,63.29,4.94
OJ=F,Com_Other,162.75,BEAR,66.39,63.63,4.63
OJ=F,Com_Other,170.75,BEAR,67.41,63.06,7.93
OJ=F,Com_Other,147.95,BEAR,42.86,66.45,-16.55
OJ=F,Com_Other,163.15,BEAR,64.83,65.57,-1.54
OJ=F,Com_Other,152.5,BEAR,58.33,60.87,-7.97
OJ=F,Com_Other,145.7,BEAR,41.51,66.9,-17.82
OJ=F,Com_Other,152.6,BEAR,53.21,60.45,-13.59
OJ=F,Com_Other,150.85,BEAR,15.61,68.28,-18.53
OJ=F,Com_Other,146.6,BEAR,42.04,66.67,-17.32
CC=F,Com_Other,5695.0,BEAR,63.52,49.9,-6.67
CC=F,Com_Other,5888.0,BEAR,68.92,52.32,-3.51
CC=F,Com_Other,5841.0,BEAR,62.68,49.68,18.17
CC=F,Com_Other,5996.0,BEAR,76.25,49.78,13.41
CC=F,Com_Other,5938.0,BEAR,74.41,53.93,12.8
CC=F,Com_Other,5947.0,BEAR,73.52,54.61,13.02
CC=F,Com_Other,6226.0,BEAR,88.02,49.72,13.47
CC=F,Com_Other,5643.0,BEAR,62.41,50.88,-8.76
CC=F,Com_Other,5643.0,BEAR,62.41,50.88,-8.76
CC=F,Com_Other,6335.0,BEAR,89.27,49.73,15.45
CC=F,Com_Other,5496.0,BEAR,23.14,48.06,-14.07
CC=F,Com_Other,,BEAR,83.76,47.78,-1.29
CC=F,Com_Other,,BEAR,58.5,48.66,-11.08
OJ=F,Com_Other,147.6,BEAR,40.62,57.43,-18.77
OJ=F,Com_Other,149.1,BEAR,44.17,61.13,-17.94
OJ=F,Com_Other,161.7,BEAR,54.72,61.1,8.96
LIT,Com_Metals_Industrial,62.23,BEAR,42.52,23.62,2.39
LIT,Com_Metals_Industrial,,BEAR,55.46,22.05,3.95
LIT,Com_Metals_Industrial,,BEAR,42.05,23.29,3.35
ALI=F,Com_Metals_Industrial,2910.25,BEAR,63.17,20.08,7.25
LIT,Com_Metals_Industrial,63.87,BEAR,69.29,22.46,0.28
LIT,Com_Metals_Industrial,62.85,BEAR,45.53,23.46,4.38
LIT,Com_Metals_Industrial,62.85,BEAR,45.53,23.46,4.38
LIT,Com_Metals_Industrial,,BEAR,80.17,21.24,2.26
LIT,Com_Metals_Industrial,,BEAR,77.09,22.95,-0.19
LIT,Com_Metals_Industrial,64.08,BEAR,69.37,22.96,2.5
ALI=F,Com_Metals_Industrial,2862.0,BEAR,78.69,18.42,2.1
LIT,Com_Metals_Industrial,63.64,BEAR,80.12,22.89,-0.2
ALI=F,Com_Metals_Industrial,2864.75,BEAR,75.12,18.99,2.2
HG=F,Com_Metals_Industrial,5.37,BULL,67.05,24.25,7.43
HG=F,Com_Metals_Industrial,5.41,BULL,63.71,25.46,9.12
HG=F,Com_Metals_Industrial,5.44,BULL,69.94,26.33,7.71
HG=F,Com_Metals_Industrial,5.36,BEAR,30.05,31.95,7.98
HG=F,Com_Metals_Industrial,5.38,BULL,68.76,22.2,6.6
HG=F,Com_Metals_Industrial,5.42,BULL,70.93,21.51,9.57
HG=F,Com_Metals_Industrial,5.28,BULL,62.65,24.78,3.85
HG=F,Com_Metals_Industrial,5.38,BULL,69.66,20.8,8.83
HG=F,Com_Metals_Industrial,5.38,BULL,69.66,20.8,8.83
HG=F,Com_Metals_Industrial,5.49,BULL,73.8,22.54,7.82
HG=F,Com_Metals_Industrial,5.44,BEAR,77.65,18.6,6.97
HG=F,Com_Metals_Industrial,5.34,BULL,73.3,18.7,4.91
HG=F,Com_Metals_Industrial,5.42,BULL,61.24,24.75,8.31
ALI=F,Com_Metals_Industrial,2898.75,BEAR,33.4,25.77,4.92
ALI=F,Com_Metals_Industrial,,BEAR,70.78,18.55,1.97
LIT,Com_Metals_Industrial,63.71,BEAR,64.3,22.16,0.89
ALI=F,Com_Metals_Industrial,2873.25,BEAR,60.88,18.52,3.67
ALI=F,Com_Metals_Industrial,2788.0,BEAR,62.86,19.64,-1.48
ALI=F,Com_Metals_Industrial,2908.75,BEAR,64.37,18.73,4.95
ALI=F,Com_Metals_Industrial,2861.0,BEAR,59.06,18.68,3.23
ALI=F,Com_Metals_Industrial,,BEAR,73.26,20.39,1.2
ALI=F,Com_Metals_Industrial,2806.25,BEAR,61.06,18.5,2.71
ALI=F,Com_Metals_Industrial,2901.5,BEAR,64.0,22.51,8.1
ALI=F,Com_Metals_Industrial,2846.25,BEAR,64.15,20.25,2.14
LIT,Com_Metals_Industrial,,BEAR,51.82,21.7,0.82
LIT,Com_Metals_Industrial,,BEAR,56.44,22.32,2.36
RB=F,Com_Energy,1.84,BEAR,22.18,26.32,-6.59
RB=F,Com_Energy,1.75,BEAR,23.65,22.38,-10.59
RB=F,Com_Energy,1.75,BEAR,23.84,22.39,-10.49
RB=F,Com_Energy,1.83,BEAR,21.71,26.28,-6.69
NG=F,Com_Energy,4.07,BULL,40.09,63.66,-10.84
NG=F,Com_Energy,4.01,BULL,38.87,64.41,-8.26
RB=F,Com_Energy,1.78,BEAR,21.9,23.87,-11.49
RB=F,Com_Energy,1.83,BEAR,35.1,28.19,-4.03
RB=F,Com_Energy,1.82,BEAR,19.69,26.15,-7.23
NG=F,Com_Energy,3.89,BULL,39.12,63.09,-10.89
NG=F,Com_Energy,4.12,BULL,40.34,63.74,-11.39
NG=F,Com_Energy,5.29,BULL,70.55,45.81,21.39
RB=F,Com_Energy,1.73,BEAR,17.68,19.04,-14.02
NG=F,Com_Energy,5.29,BULL,70.55,45.81,21.39
NG=F,Com_Energy,4.11,BULL,40.27,63.78,-11.47
NG=F,Com_Energy,5.27,BULL,70.23,45.45,20.95
RB=F,Com_Energy,1.71,BEAR,18.8,19.17,-14.3
RB=F,Com_Energy,1.71,BEAR,15.33,21.81,-14.61
NG=F,Com_Energy,4.62,BULL,51.71,57.49,1.27
NG=F,Com_Energy,5.07,BEAR,42.94,52.41,19.87
BZ=F,Com_Energy,63.2,BEAR,41.79,22.23,-0.28
HO=F,Com_Energy,2.12,BEAR,23.32,23.96,-21.49
