Ticker,Category
CT=F,Com_Agriculture
HE=F,Com_Agriculture
KC=F,Com_Agriculture
LE=F,Com_Agriculture
SB=F,Com_Agriculture
ZC=F,Com_Agriculture
ZS=F,Com_Agriculture
ZW=F,Com_Agriculture
BZ=F,Com_Energy
CL=F,Com_Energy
HO=F,Com_Energy
NG=F,Com_Energy
RB=F,Com_Energy
ALI=F,Com_Metals_Industrial
HG=F,Com_Metals_Industrial
LIT,Com_Metals_Industrial
PA=F,Com_Metals_Precious
PL=F,Com_Metals_Precious
CC=F,Com_Other
OJ=F,Com_Other
GC=F,Commodities
SI=F,Commodities
HYG,Credit_Risk
JNK,Credit_Risk
LQD,Credit_Risk
GOVT,Credit_Safe
IEF,Credit_Safe
SHY,Credit_Safe
TLT,Credit_Safe
BTC-USD,Crypto
ETH-USD,Crypto
SOL-USD,Crypto
AAVE-USD,Crypto_Top100
ADA-USD,Crypto_Top100
ALGO-USD,Crypto_Top100
ARB-USD,Crypto_Top100
ATOM-USD,Crypto_Top100
AVAX-USD,Crypto_Top100
BCH-USD,Crypto_Top100
BF-USD,Crypto_Top100
BGB-USD,Crypto_Top100
BNB-USD,Crypto_Top100
BNSOL-USD,Crypto_Top100
CRO-USD,Crypto_Top100
DAI-USD,Crypto_Top100
DOGE-USD,Crypto_Top100
DOT-USD,Crypto_Top100
ENA-USD,Crypto_Top100
ETC-USD,Crypto_Top100
FBTC-USD,Crypto_Top100
FIL-USD,Crypto_Top100
FLR-USD,Crypto_Top100
GT-USD,Crypto_Top100
HBAR-USD,Crypto_Top100
HTX-USD,Crypto_Top100
ICP-USD,Crypto_Top100
JITOSOL-USD,Crypto_Top100
JLP-USD,Crypto_Top100
KAS-USD,Crypto_Top100
KCS-USD,Crypto_Top100
LEO-USD,Crypto_Top100
LINK-USD,Crypto_Top100
LSETH-USD,Crypto_Top100
LTC-USD,Crypto_Top100
M-USD,Crypto_Top100
NEAR-USD,Crypto_Top100
OKB-USD,Crypto_Top100
ONDO-USD,Crypto_Top100
PAXG-USD,Crypto_Top100
PYUSD-USD,Crypto_Top100
QNT-USD,Crypto_Top100
RAIN-USD,Crypto_Top100
RETH-USD,Crypto_Top100
RLUSD-USD,Crypto_Top100
RSETH-USD,Crypto_Top100
SHIB-USD,Crypto_Top100
SKY-USD,Crypto_Top100
STETH-USD,Crypto_Top100
SUSDE-USD,Crypto_Top100
SYRUPUSDC-USD,Crypto_Top100
SYRUPUSDT-USD,Crypto_Top100
TON-USD,Crypto_Top100
TRUMP-USD,Crypto_Top100
TRX-USD,Crypto_Top100
USDC-USD,Crypto_Top100
USDF-USD,Crypto_Top100
USDG-USD,Crypto_Top100
USDT-USD,Crypto_Top100
USDT0-USD,Crypto_Top100
VET-USD,Crypto_Top100
WBETH-USD,Crypto_Top100
WBNB-USD,Crypto_Top100
WBT-USD,Crypto_Top100
WBTC-USD,Crypto_Top100
WEETH-USD,Crypto_Top100
WETH-USD,Crypto_Top100
WLD-USD,Crypto_Top100
WLFI-USD,Crypto_Top100
WSTETH-USD,Crypto_Top100
XAUT-USD,Crypto_Top100
XLM-USD,Crypto_Top100
XMR-USD,Crypto_Top100
XRP-USD,Crypto_Top100
ZEC-USD,Crypto_Top100
DX-Y.NYB,Currencies
EURUSD=X,Currencies
JPY=X,Currencies
EEM,Equities_Global
EWJ,Equities_Global
FXI,Equities_Global
VGK,Equities_Global
DIA,Equities_Indices
IWM,Equities_Indices
QQQ,Equities_Indices
SPY,Equities_Indices
RSP,Equities_Sectors
XBI,Equities_Sectors
XLE,Equities_Sectors
XLF,Equities_Sectors
XLK,Equities_Sectors
XLV,Equities_Sectors
^BVSP,Global_Americas
^DJI,Global_Americas
^GSPC,Global_Americas
^GSPTSE,Global_Americas
^IXIC,Global_Americas
^MXX,Global_Americas
^RUT,Global_Americas
000001.SS,Global_Asia
^AXJO,Global_Asia
^BSESN,Global_Asia
^HSI,Global_Asia
^JKSE,Global_Asia
^KS11,Global_Asia
^N225,Global_Asia
^TWII,Global_Asia
FTSEMIB.MI,Global_Europe
IBEX,Global_Europe
^AEX,Global_Europe
^FCHI,Global_Europe
^FTSE,Global_Europe
^GDAXI,Global_Europe
^SSMI,Global_Europe
^STOXX50E,Global_Europe
REM,Real_Estate
VNQ,Real_Estate
CHTR,Sector_CommunicationServices
CMCSA,Sector_CommunicationServices
DIS,Sector_CommunicationServices
EA,Sector_CommunicationServices
FOX,Sector_CommunicationServices
FOXA,Sector_CommunicationServices
GOOG,Sector_CommunicationServices
GOOGL,Sector_CommunicationServices
LYV,Sector_CommunicationServices
META,Sector_CommunicationServices
MTCH,Sector_CommunicationServices
NFLX,Sector_CommunicationServices
NWS,Sector_CommunicationServices
NWSA,Sector_CommunicationServices
OMC,Sector_CommunicationServices
PSKY,Sector_CommunicationServices
T,Sector_CommunicationServices
TKO,Sector_CommunicationServices
TMUS,Sector_CommunicationServices
TTD,Sector_CommunicationServices
TTWO,Sector_CommunicationServices
